[2026-01-19 23:01:02.292] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:03.295] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:04.287] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:05.294] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:06.303] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:41.2% | state:CHG
[2026-01-19 23:01:07.304] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:08.294] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:09.301] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:10.308] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:11.300] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:12.302] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:13.310] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.3% | state:CHG
[2026-01-19 23:01:14.314] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:15.306] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:16.307] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:17.315] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:18.324] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:19.326] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:20.320] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:21.325] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.4% | state:CHG
[2026-01-19 23:01:22.331] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:23.334] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:24.326] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:25.328] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:26.335] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:27.344] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:28.332] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.5% | state:CHG
[2026-01-19 23:01:29.340] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:30.345] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:31.338] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:32.347] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:33.353] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:34.358] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:35.347] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:36.356] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.6% | state:CHG
[2026-01-19 23:01:37.359] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:38.367] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:39.358] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:40.367] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:41.370] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:42.359] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:43.367] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:41.7% | state:CHG
[2026-01-19 23:01:44.371] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:45.380] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:46.383] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:47.373] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:48.376] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:49.384] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:50.388] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:51.379] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.8% | state:CHG
[2026-01-19 23:01:52.387] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:53.391] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:54.397] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:55.388] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:56.396] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:57.400] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:58.392] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:41.9% | state:CHG
[2026-01-19 23:01:59.396] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:00.399] V:4.000 | I:0.574 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:01.407] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:02.412] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:03.416] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:04.404] V:4.000 | I:0.573 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:05.411] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:06.415] V:4.000 | I:0.574 | Soc_k:49.3% | Soc_c:42.0% | state:CHG
[2026-01-19 23:02:07.417] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:08.426] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:09.414] V:4.000 | I:0.573 | Soc_k:49.3% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:10.422] V:4.008 | I:0.573 | Soc_k:49.3% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:11.426] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:12.432] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:13.422] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.1% | state:CHG
[2026-01-19 23:02:14.429] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:15.434] V:4.004 | I:0.574 | Soc_k:49.3% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:16.441] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:17.433] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:18.438] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:19.444] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:20.449] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:21.441] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.2% | state:CHG
[2026-01-19 23:02:22.443] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:23.452] V:4.004 | I:0.573 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:24.445] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:25.449] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:26.458] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:27.464] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:28.453] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:29.458] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.3% | state:CHG
[2026-01-19 23:02:30.467] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:31.469] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:32.460] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:33.468] V:4.004 | I:0.574 | Soc_k:49.4% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:34.473] V:4.008 | I:0.574 | Soc_k:49.4% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:35.465] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:36.471] V:4.004 | I:0.574 | Soc_k:49.3% | Soc_c:42.4% | state:CHG
[2026-01-19 23:02:37.476] V:4.008 | I:0.574 | Soc_k:49.3% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:38.472] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:39.488] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:40.475] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:41.489] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:42.488] V:4.008 | I:0.573 | Soc_k:49.4% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:43.485] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:44.483] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.5% | state:CHG
[2026-01-19 23:02:45.495] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:46.496] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:47.497] V:4.008 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:48.499] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:49.500] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:50.498] V:4.008 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:51.498] V:4.008 | I:0.573 | Soc_k:49.3% | Soc_c:42.6% | state:CHG
[2026-01-19 23:02:52.513] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.7% | state:CHG
[2026-01-19 23:02:53.515] V:4.008 | I:0.573 | Soc_k:49.3% | Soc_c:42.7% | state:CHG
[2026-01-19 23:02:54.515] V:4.004 | I:0.574 | Soc_k:49.3% | Soc_c:42.7% | state:CHG
[2026-01-19 23:02:55.516] V:4.004 | I:0.573 | Soc_k:49.3% | Soc_c:42.7% | state:CHG
