[2026-01-21 19:12:13.952] 3.628V | 583.0mA | 11.86/120mAh | 11.86mAh_total | Status: CHARGING
[2026-01-21 19:12:14.956] 3.628V | 582.7mA | 12.02/120mAh | 12.02mAh_total | Status: CHARGING
[2026-01-21 19:12:15.945] 3.628V | 583.2mA | 12.18/120mAh | 12.18mAh_total | Status: CHARGING
[2026-01-21 19:12:16.950] 3.628V | 583.3mA | 12.35/120mAh | 12.35mAh_total | Status: CHARGING
[2026-01-21 19:12:17.955] 3.628V | 582.7mA | 12.51/120mAh | 12.51mAh_total | Status: CHARGING
[2026-01-21 19:12:18.959] 3.632V | 583.5mA | 12.67/120mAh | 12.67mAh_total | Status: CHARGING
[2026-01-21 19:12:19.966] 3.632V | 582.7mA | 12.83/120mAh | 12.83mAh_total | Status: CHARGING
[2026-01-21 19:12:20.968] 3.632V | 582.4mA | 12.99/120mAh | 12.99mAh_total | Status: CHARGING
[2026-01-21 19:12:21.958] 3.636V | 582.4mA | 13.16/120mAh | 13.16mAh_total | Status: CHARGING
[2026-01-21 19:12:22.963] 3.632V | 583.1mA | 13.32/120mAh | 13.32mAh_total | Status: CHARGING
[2026-01-21 19:12:23.965] 3.632V | 582.8mA | 13.48/120mAh | 13.48mAh_total | Status: CHARGING
[2026-01-21 19:12:24.976] 3.640V | 583.3mA | 13.64/120mAh | 13.64mAh_total | Status: CHARGING
[2026-01-21 19:12:25.976] 3.636V | 582.7mA | 13.81/120mAh | 13.81mAh_total | Status: CHARGING
[2026-01-21 19:12:26.966] 3.640V | 582.0mA | 13.97/120mAh | 13.97mAh_total | Status: CHARGING
[2026-01-21 19:12:27.967] 3.644V | 582.8mA | 14.13/120mAh | 14.13mAh_total | Status: CHARGING
[2026-01-21 19:12:28.971] 3.636V | 583.3mA | 14.29/120mAh | 14.29mAh_total | Status: CHARGING
[2026-01-21 19:12:29.984] 3.644V | 583.1mA | 14.45/120mAh | 14.45mAh_total | Status: CHARGING
[2026-01-21 19:12:30.974] 3.644V | 582.8mA | 14.62/120mAh | 14.62mAh_total | Status: CHARGING
[2026-01-21 19:12:31.975] 3.640V | 582.7mA | 14.78/120mAh | 14.78mAh_total | Status: CHARGING
[2026-01-21 19:12:32.989] 3.648V | 582.7mA | 14.94/120mAh | 14.94mAh_total | Status: CHARGING
[2026-01-21 19:12:33.987] 3.648V | 582.6mA | 15.10/120mAh | 15.10mAh_total | Status: CHARGING
