time_s,voltage_V,current_A,soc_thuc,,,,,
43686.112,3.272,0.1,-0.006235,,,,,-1207.482
43687.117,3.272,0.1,-0.006235,,,,,-1207.482
43688.119,3.272,0.3,-0.006235,,,,,-1207.482
43689.106,3.272,-0.1,-0.006235,,,,,-1207.482
43690.108,3.272,0.3,-0.006235,,,,,-1207.482
43691.112,3.272,0.2,-0.006235,,,,,-1207.482
43692.113,3.272,0.1,-0.006235,,,,,-1207.482
43693.113,3.272,0.1,-0.006235,,,,,-1207.482
43694.119,3.272,-0.1,-0.006235,,,,,-1207.482
43695.107,3.272,0,-0.006235,,,,,-1207.482
43696.109,3.272,0.1,-0.006235,,,,,-1207.482
43697.113,3.272,-0.1,-0.006235,,,,,-1207.482
43698.119,3.268,0.1,-0.006235,,,,,-1207.482
43699.108,3.272,0.3,-0.006235,,,,,-1207.482
43700.111,3.272,-0.1,-0.006235,,,,,-1207.482
43701.116,3.272,-0.2,-0.006235,,,,,-1207.482
43702.119,3.272,-0.1,-0.006235,,,,,-1207.482
43703.106,3.272,0.1,-0.006235,,,,,-1207.482
43704.111,3.272,0,-0.006235,,,,,-1207.482
43705.112,3.272,0,-0.006235,,,,,-1207.482
43706.114,3.272,0.1,-0.006235,,,,,-1207.482
43707.116,3.272,0,-0.006235,,,,,-1207.482
43708.119,3.272,0.1,-0.006235,,,,,-1207.482
43709.105,3.272,0.1,-0.006235,,,,,-1207.482
43710.108,3.272,-0.2,-0.006235,,,,,-1207.482
43711.107,3.268,0,-0.006235,,,,,-1207.482
43712.108,3.272,0,-0.006235,,,,,-1207.482
43713.11,3.272,0,-0.006235,,,,,-1207.482
43714.11,3.272,-0.1,-0.006235,,,,,-1207.482
43715.108,3.272,-0.1,-0.006235,,,,,-1207.482
43716.11,3.272,-0.1,-0.006235,,,,,-1207.482
43717.11,3.272,-0.3,-0.006235,,,,,-1207.482
43718.118,3.272,0.1,-0.006235,,,,,-1207.482
43719.121,3.272,0,-0.006235,,,,,-1207.482
43720.107,3.272,0.4,-0.006235,,,,,-1207.482
43721.109,3.272,-0.1,-0.006235,,,,,-1207.482
43722.106,3.272,0,-0.006235,,,,,-1207.482
43723.109,3.272,-0.2,-0.006235,,,,,-1207.482
43724.112,3.272,0.1,-0.006235,,,,,-1207.482
43725.114,3.272,0,-0.006235,,,,,-1207.482
43726.115,3.276,0,-0.006235,,,,,-1207.482
43727.114,3.268,0,-0.006235,,,,,-1207.482
43728.118,3.268,0,-0.006235,,,,,-1207.482
43729.116,3.272,-0.2,-0.006235,,,,,-1207.482
43730.119,3.268,0.1,-0.006235,,,,,-1207.482
43731.106,3.272,-0.1,-0.006235,,,,,-1207.482
43732.109,3.272,-0.1,-0.006235,,,,,-1207.482
43733.11,3.272,0,-0.006235,,,,,-1207.482
43734.113,3.272,0,-0.006235,,,,,-1207.482
43735.118,3.272,0.1,-0.006235,,,,,-1207.482
43736.119,3.272,-0.2,-0.006235,,,,,-1207.482
43737.119,3.272,0,-0.006235,,,,,-1207.482
43738.106,3.268,0.1,-0.006235,,,,,-1207.482
43739.104,3.272,0.1,-0.006235,,,,,-1207.482
43740.115,3.272,0.1,-0.006235,,,,,-1207.482
43741.117,3.272,0.1,-0.006235,,,,,-1207.482
43742.118,3.272,-0.1,-0.006235,,,,,-1207.482
43743.116,3.276,-0.3,-0.006235,,,,,-1207.482
43744.114,3.272,0.1,-0.006235,,,,,-1207.482
43745.111,3.272,0.1,-0.006235,,,,,-1207.482
43746.11,3.272,0.1,-0.006235,,,,,-1207.482
43747.108,3.272,0,-0.006235,,,,,-1207.482
43748.104,3.272,0,-0.006235,,,,,-1207.482
43749.105,3.272,0.1,-0.006235,,,,,-1207.482
43750.105,3.272,-0.1,-0.006235,,,,,-1207.482
43751.11,3.272,0,-0.006235,,,,,-1207.482
43752.112,3.272,0.2,-0.006235,,,,,-1207.482
43753.117,3.272,0.2,-0.006235,,,,,-1207.482
43754.106,3.272,0.1,-0.006235,,,,,-1207.482
