[2026-01-14 01:27:50.127] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:50.630] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:51.122] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:51.621] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:52.120] V: 4.1440V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:52.620] V: 4.1480V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:53.124] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:53.623] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:54.120] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:54.632] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:55.132] V: 4.1520V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:55.621] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:56.128] V: 4.1480V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:56.623] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:57.121] V: 4.1480V | I: 0.5000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:57.625] V: 4.1520V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:58.129] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:58.623] V: 4.1480V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:59.128] V: 4.1480V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:59.633] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
