time_s,voltage_V,current_A,soc_k,soc_c,state,timestamp
33398.488,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:39.563
33399.497,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:40.572
33400.491,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:41.566
33401.502,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:15:42.577
33402.496,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:43.571
33403.506,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:15:44.581
33404.501,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:45.576
33405.507,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:46.582
33406.517,4.14,0.0,1.0,1.0,CHG,2026-01-20 08:15:47.592
33407.509,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:48.584
33408.521,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:49.596
33409.512,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:50.587
33410.523,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:51.598
33411.516,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:15:52.591
33412.516,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:15:53.591
33413.526,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:54.601
33414.526,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:15:55.601
33415.527,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:56.602
33416.526,4.144,-0.001,1.0,1.0,CHG,2026-01-20 08:15:57.601
33417.534,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:58.609
33418.538,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:59.613
33419.532,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:16:00.607
33420.542,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:16:01.617
33421.531,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:16:02.606
33422.541,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:16:03.616
33423.548,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:16:04.623
33424.541,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:16:05.616
33425.547,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:16:06.622
33426.542,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:16:07.617
33427.553,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:16:08.628
33428.561,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:16:09.636
33429.555,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:16:10.630
33430.561,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:16:11.636
